  Value Date ,AMOUNT,Ccy,Payment Reference,Remittance Info,Ordering Party,Customer Code
18/07/2026,"18.043,00",USD,BNK-2026-000103,INV-2026-0103,Telavi Energy Group,C053
09/07/2026,"2.466,50",GEL,BNK-2026-000104,INV-2026-0104,Tbilisi Pharma JSC,C017
25/07/2026,"8.465,50",GEL,BNK-2026-000105,INV-2026-0105,Telavi Agro Co,C013
20/07/2026,"31.472,50",GEL,BNK-2026-000107,INV-2026-0107,ბორჯომი Co,C006
31/07/2026,"35.942,00",USD,BNK-2026-000110,INV-2026-0110,Batumi Systems Co,C057
31/07/2026,"42.045,50",USD,BNK-2026-000111,INV-2026-0111,Batumi Systems Co,C057
31/07/2026,"44.284,00",GEL,BNK-2026-000112,INV-2026-0112,Akhaltsikhe Retail Co,C034
10/07/2026,"11.080,50",GEL,BNK-2026-000113,INV-2026-0113,Kobuleti Print Group,C007
31/07/2026,"23.670,00",GEL,BNK-2026-000115,INV-2026-0115,Rustavi Construction Co,C027
27/07/2026,"5.177,00",GEL,BNK-2026-000118,INV-2026-0118,Mtskheta Steel JSC,C025
04/07/2026,"13.632,00",GEL,BNK-2026-000120,INV-2026-0120,Kobuleti Agro JSC,C044
22/07/2026,"33.894,50",GEL,BNK-2026-000123,INV-2026-0123,Tbilisi Trading LLC,C050
31/07/2026,"1.678,50",GEL,BNK-2026-000125,INV-2026-0125,Kobuleti Print Group,C007
05/07/2026,"40.212,00",GEL,BNK-2026-000129,INV-2026-0129,Tbilisi Pharma Co,C045
20/07/2026,"12.598,50",GEL,BNK-2026-000130,INV-2026-0130,Tbilisi Textiles LLC,C046
31/07/2026,"22.140,50",GEL,BNK-2026-000134,INV-2026-0134,Tbilisi Trading LLC,C050
18/07/2026,"9.161,00",USD,BNK-2026-000137,INV-2026-0137,Telavi Textiles JSC,C047
31/07/2026,"10.805,50",GEL,BNK-2026-000138,INV-2026-0138,Telavi Construction JSC,C019
31/07/2026,"24.579,50",GEL,BNK-2026-000140,INV-2026-0140,მტკვარი JSC,C002
31/07/2026,"17.963,00",GEL,BNK-2026-000141,INV-2026-0141,Tbilisi Textiles LLC,C046
30/07/2026,"19.344,50",GEL,BNK-2026-000142,INV-2026-0142,მტკვარი JSC,C002
22/07/2026,"5.661,50",EUR,BNK-2026-000143,INV-2026-0143,Telavi Logistics LLC,C051
31/07/2026,"42.668,50",USD,BNK-2026-000145,INV-2026-0145,Poti Construction JSC,C048
31/07/2026,"435,50",GEL,BNK-2026-000148,INV-2026-0148,მტკვარი JSC,C002
10/07/2026,"12.393,00",GEL,BNK-2026-000160,PMT-INV-2026-0160 PAYMENT,Marneuli Systems LLC,C031
31/07/2026,"4.937,50",GEL,BNK-2026-000164,PMT-INV-2026-0164 PAYMENT,Kobuleti Print Group,C007
24/07/2026,"29.753,50",GEL,BNK-2026-000172,inv 2026 0172,Tbilisi Trading LLC,C050
26/07/2026,"43.533,00",GEL,BNK-2026-000176,ინვ-2026-0176,Tbilisi Trading LLC,C050
31/07/2026,"4.380,00",GEL,BNK-2026-000177,ინვ-2026-0177,Marneuli Logistics Group,C058
31/07/2026,"6.508,00",GEL,BNK-2026-000179,ინვ-2026-0179,Gori Agro Group,C038
31/07/2026,"32.672,00",GEL,BNK-2026-000180,ინვ-2026-0180,Kobuleti Print Group,C007
31/07/2026,"21.076,00",USD,BNK-2026-000181,ინვ-2026-0181,Poti Construction JSC,C048
16/07/2026,"22.761,50",EUR,BNK-2026-000182,ინვ-2026-0182,Telavi Retail LLC,C024
31/07/2026,"565,00",GEL,BNK-2026-000183,INV-2026-0189,ლიხი JSC,C004
15/07/2026,"20.823,00",GEL,BNK-2026-000185,INV-2026-5185,Telavi Agro Co,C029
16/07/2026,"23.852,50",GEL,BNK-2026-000188,INV-2026-0118,ლიხი JSC,C004
08/07/2026,"22.340,50",GEL,BNK-2026-000189,INV-2026-0199,ბორჯომი Co,C006
19/07/2026,"10.607,00",EUR,BNK-2026-000190,INV-2026-0196,Telavi Retail LLC,C024
31/07/2026,"35.265,50",GEL,BNK-2026-000191,INV-2026-1191,მტკვარი JSC,C002
18/07/2026,"42.622,00",USD,BNK-2026-000201,,Kobuleti Foods Group,C039
17/07/2026,"31.266,50",GEL,BNK-2026-000205,ACCOUNT SETTLEMENT,Tbilisi Textiles LLC,C046
29/07/2026,"32.834,50",GEL,BNK-2026-000208,ANGARISHSWORA,Kutaisi Print Group,C026
31/07/2026,"44.961,00",USD,BNK-2026-000210,GEO PAY,Telavi Pharma LLC,C060
31/07/2026,"8.642,00",USD,BNK-2026-000211,PAYMENT FOR SERVICES,Gori Pharma Group,C033
08/07/2026,"13.520,00",GEL,BNK-2026-000213,TRANSFER,Kutaisi Print JSC,C008
31/07/2026,"40.391,00",USD,BNK-2026-000216,ANGARISHSWORA,Telavi Trading Group,C023
11/07/2026,"37.987,00",GEL,BNK-2026-000217,ANGARISHSWORA,Kobuleti Agro JSC,C044
11/07/2026,"35.532,00",GEL,BNK-2026-000219,ANGARISHSWORA,მტკვარი JSC,C002
27/07/2026,"4.783,50",GEL,BNK-2026-000222,PAYMENT,Telavi Agro Co,C013
10/07/2026,"6.587,50",GEL,BNK-2026-000223,MONTHLY PAYMENT,მტკვარი JSC,C002
12/07/2026,"1.105,00",GEL,BNK-2026-000224,PAYMENT FOR SERVICES,Mtskheta Retail LLC,C028
04/07/2026,"11.211,00",GEL,BNK-2026-000225,ACCOUNT SETTLEMENT,Marneuli Logistics Group,C058
20/07/2026,"16.365,50",USD,BNK-2026-000228,TRF,Telavi Pharma LLC,C060
04/07/2026,"26.709,50",GEL,BNK-2026-000229,ACCOUNT SETTLEMENT,Mtskheta Steel JSC,C025
22/07/2026,"41.539,52",GEL,BNK-2026-000237,BANK TRANSFER,Kobuleti Logistics LLC,C015
02/07/2026,"22.925,48",GEL,BNK-2026-000238,PAYMENT FOR SERVICES,Kobuleti Logistics LLC,C015
31/07/2026,"11.494,01",GEL,BNK-2026-000239,BANK TRANSFER,Telavi Agro JSC,C035
31/07/2026,"37.182,02",GEL,BNK-2026-000240,GEO PAY,Tbilisi Retail Co,C010
31/07/2026,"27.210,48",GEL,BNK-2026-000241,TRANSFER,Mtskheta Steel JSC,C025
06/07/2026,"32.126,49",GEL,BNK-2026-000243,,Rustavi Construction Co,C027
19/07/2026,"33.369,49",GEL,BNK-2026-000244,,Poti Construction JSC,C014
13/07/2026,"6.158,42",USD,BNK-2026-000245,INV-2026-0245,Poti Construction JSC,C048
14/07/2026,"25.464,71",GEL,BNK-2026-000246,INV-2026-0246,Kutaisi Print Group,C026
20/07/2026,"30.780,61",USD,BNK-2026-000247,INV-2026-0247,Poti Construction JSC,C048
12/07/2026,"33.814,15",GEL,BNK-2026-000249,INV-2026-0249,Kobuleti Print Group,C007
28/07/2026,"34.886,30",GEL,BNK-2026-000251,INV-2026-0251,Zugdidi Retail Co,C012
30/07/2026,"26.085,11",GEL,BNK-2026-000252,INV-2026-0252,Kobuleti Construction JSC,C041
31/07/2026,"24.947,74",GEL,BNK-2026-000262,INV-2026-0262,Poti Textiles Co,C052
07/07/2026,"5.620,54",GEL,BNK-2026-000264,INV-2026-0264,Kutaisi Print JSC,C008
22/07/2026,"20.499,50",GEL,BNK-2026-000269,INV-2026-0269,Batumi Systems Co,C057
15/07/2026,"19.185,50",GEL,BNK-2026-000271,INV-2026-0271,Zugdidi Retail Co,C012
24/07/2026,"12.057,00",GEL,BNK-2026-000272,INV-2026-0272,Marneuli Logistics Group,C058
17/07/2026,"43.442,50",GEL,BNK-2026-000277,INV-2026-0277,Telavi Agro Co,C013
28/07/2026,"73.185,00",GEL,BNK-2026-000281,CONSOLIDATED PAYMENT,მტკვარი JSC,C002
31/07/2026,"46.046,50",USD,BNK-2026-000284,CONSOLIDATED PAYMENT,Telavi Trading Group,C023
05/07/2026,"45.877,50",USD,BNK-2026-000285,CONSOLIDATED PAYMENT,Telavi Trading Group,C023
17/07/2026,"483,25",USD,BNK-2026-000291,INSTALMENT 1 OF 2,Batumi Systems Co,C057
29/07/2026,"483,25",USD,BNK-2026-000292,INSTALMENT 2 OF 2,Batumi Systems Co,C057
13/07/2026,"846,25",EUR,BNK-2026-000299,INSTALMENT 1 OF 2,Telavi Retail LLC,C024
29/07/2026,"846,25",EUR,BNK-2026-000300,INSTALMENT 2 OF 2,Telavi Retail LLC,C024
31/07/2026,"23.123,62",GEL,BNK-2026-000305,PO-98748,Mtskheta Energy Group,C018
18/07/2026,"25.744,12",GEL,BNK-2026-000306,PO-71894,ლიხი JSC,C004
14/07/2026,"18.800,22",USD,BNK-2026-000307,PO-98472,Telavi Energy Group,C053
06/07/2026,"28.495,39",GEL,BNK-2026-000308,PO-97920,Tbilisi Agro LLC,C055
28/07/2026,"19.465,77",USD,BNK-2026-000310,PO-99989,Telavi Textiles JSC,C047
31/07/2026,"27.379,29",GEL,BNK-2026-000312,PO-54636,Telavi Agro JSC,C035
17/07/2026,"30.275,63",GEL,BNK-2026-000313,PO-79389,Poti Systems Co,C036
04/07/2026,"34.953,61",GEL,BNK-2026-000316,PO-94843,Poti Textiles Co,C052
05/07/2026,"40.108,45",GEL,BNK-2026-000317,PO-54747,Gori Steel JSC,C016
21/07/2026,"3.915,96",GEL,BNK-2026-000319,PO-47179,Poti Foods JSC,C021
28/07/2026,"9.746,62",USD,BNK-2026-000322,PO-60489,Telavi Trading Group,C023
31/07/2026,"1.697,67",GEL,BNK-2026-000324,PO-69248,Marneuli Construction Co,C030
31/07/2026,"24.404,00",GEL,BNK-2026-000326,INV-2026-0070,Rustavi Construction Co,C027
31/07/2026,"10.805,50",GEL,BNK-2026-000327,INV-2026-0138,Telavi Construction JSC,C019
31/07/2026,"44.284,00",GEL,BNK-2026-000332,INV-2026-0112,Akhaltsikhe Retail Co,C034
31/07/2026,"18.491,50",GEL,BNK-2026-000334,INV-2026-0050,Gori Steel JSC,C016
01/07/2026,"35.243,50",GEL,BNK-2026-000335,INV-2026-0018,Poti Systems Co,C036
31/07/2026,"35.753,00",USD,BNK-2026-000336,INV-2026-0029,Telavi Pharma LLC,C060
31/07/2026,"16.929,50",GEL,BNK-2026-000337,INV-2026-0021,Kobuleti Construction JSC,C041
18/07/2026,"14.378,50",GEL,BNK-2026-000344,TRANSFER,Kutaisi Foods 5,
02/07/2026,"32.755,83",GEL,BNK-2026-000348,PAYMENT,Kutaisi Agro Co,C037
10/07/2026,"28.754,83",EUR,BNK-2026-000351,TRANSFER,კოლხეთი JSC,C003
20/07/2026,"29.825,19",USD,BNK-2026-000352,ANGARISHSWORA,Poti Construction JSC,C048
20/07/2026,"18.862,33",GEL,BNK-2026-000353,PAYMENT,Kobuleti Construction JSC,C041
01/07/2026,"33.980,83",GEL,BNK-2026-000359,PAYMENT AS AGREED,ლიხი JSC,C004
19/07/2026,"18.867,37",GEL,BNK-2026-000371,TRF,Mtskheta Retail LLC,C028
24/07/2026,"43.567,69",GEL,BNK-2026-000376,SETTLEMENT,Poti Systems Co,C036
19/07/2026,"5.853,83",GEL,BNK-2026-000377,TRF,Gori Agro Group,C038
16/07/2026,"41.925,87",GEL,BNK-2026-000380,TRF,მტკვარი JSC,C002
23/07/2026,"12.118,33",GEL,BNK-2026-000381,TRF,Poti Foods JSC,C021
12/07/2026,"4.873,69",USD,BNK-2026-000382,TRANSFER,Marneuli Steel LLC,C032
15/07/2026,"34.262,33",USD,BNK-2026-000389,TRF,Poti Steel JSC,C009
01/07/2026,"3.370,33",GEL,BNK-2026-000390,PAYMENT FOR SERVICES,Akhaltsikhe Retail Co,C034
13/07/2026,"42.626,33",GEL,BNK-2026-000400,PAYMENT,Zugdidi Retail Co,C012
14/07/2026,"-39.447,00",GEL,BNK-2026-000404,REVERSAL OF EARLIER CREDIT,Telavi Agro JSC,C035
21/07/2026,"-7.203,50",GEL,BNK-2026-000407,REVERSAL OF EARLIER CREDIT,Batumi Construction Group,C011
