invoice_no,customer_code,customer_name,issue_date,due_date,amount,currency
INV-2026-0035,C052,Poti Textiles Co,2026-07-29,2026-08-28,40240.50,GEL
INV-2026-0036,C031,Marneuli Systems LLC,2026-06-22,2026-07-22,26202.00,GEL
INV-2026-0037,C030,Marneuli Construction Co,2026-06-02,2026-07-17,5915.50,GEL
INV-2026-0038,C058,Marneuli Logistics Group,2026-05-02,2026-06-01,26387.50,GEL
INV-2026-0039,C020,Marneuli Foods JSC,2026-05-24,2026-07-08,18464.50,GEL
INV-2026-0040,C051,Telavi Logistics LLC,2026-06-23,2026-08-07,2734.50,EUR
INV-2026-0041,C040,Rustavi Pharma JSC,2026-05-03,2026-06-02,34442.50,GEL
INV-2026-0042,C007,Kobuleti Print Group,2026-07-29,2026-08-12,25622.50,GEL
INV-2026-0043,C026,Kutaisi Print Group,2026-06-24,2026-07-24,28486.00,GEL
INV-2026-0044,C033,Gori Pharma Group,2026-04-02,2026-05-02,36461.50,USD
INV-2026-0045,C044,Kobuleti Agro JSC,2026-07-31,2026-09-14,27414.00,GEL
INV-2026-0046,C039,Kobuleti Foods Group,2026-05-30,2026-06-29,25219.00,USD
INV-2026-0047,C055,Tbilisi Agro LLC,2026-07-22,2026-08-21,27002.50,GEL
INV-2026-0048,C018,Mtskheta Energy Group,2026-06-13,2026-07-28,42026.00,GEL
INV-2026-0049,C034,Akhaltsikhe Retail Co,2026-07-04,2026-08-03,8955.00,GEL
INV-2026-0050,C016,Gori Steel JSC,2026-07-26,2026-08-25,18491.50,GEL
INV-2026-0051,C046,Tbilisi Textiles LLC,2026-04-26,2026-06-10,9948.50,GEL
INV-2026-0052,C034,Akhaltsikhe Retail Co,2026-04-01,2026-05-01,16470.00,GEL
INV-2026-0053,C059,Kobuleti Textiles LLC,2026-07-12,2026-08-11,15344.50,USD
INV-2026-0054,C019,Telavi Construction JSC,2026-07-14,2026-07-28,36165.00,GEL
INV-2026-0055,C007,Kobuleti Print Group,2026-04-04,2026-05-04,44436.50,GEL
INV-2026-0056,C056,Poti Pharma Group,2026-05-02,2026-05-16,44374.00,GEL
INV-2026-0057,C046,Tbilisi Textiles LLC,2026-07-24,2026-08-23,41744.50,GEL
INV-2026-0058,C046,Tbilisi Textiles LLC,2026-05-09,2026-06-08,14425.00,GEL
INV-2026-0059,C006,ბორჯომი Co,2026-05-15,2026-06-29,29716.00,GEL
INV-2026-0060,C050,Tbilisi Trading LLC,2026-07-05,2026-08-19,11900.00,GEL
INV-2026-0061,C055,Tbilisi Agro LLC,2026-07-28,2026-08-27,11914.00,GEL
INV-2026-0062,C037,Kutaisi Agro Co,2026-06-21,2026-07-05,15162.50,GEL
INV-2026-0063,C044,Kobuleti Agro JSC,2026-04-07,2026-05-22,2313.00,GEL
INV-2026-0064,C041,Kobuleti Construction JSC,2026-07-30,2026-08-29,43092.00,GEL
INV-2026-0065,C004,ლიხი JSC,2026-06-23,2026-07-23,35636.00,GEL
INV-2026-0066,C052,Poti Textiles Co,2026-05-25,2026-06-24,5498.00,GEL
INV-2026-0067,C045,Tbilisi Pharma Co,2026-04-07,2026-05-22,11949.00,GEL
INV-2026-0068,C048,Poti Construction JSC,2026-07-20,2026-09-03,43311.50,USD
INV-2026-0069,C049,Poti Textiles Group,2026-06-27,2026-07-11,11665.00,EUR
INV-2026-0070,C027,Rustavi Construction Co,2026-07-28,2026-08-27,24404.00,GEL
INV-2026-0071,C024,Telavi Retail LLC,2026-05-08,2026-05-22,40554.50,EUR
INV-2026-0072,C047,Telavi Textiles JSC,2026-07-31,2026-08-30,27705.00,USD
INV-2026-0073,C048,Poti Construction JSC,2026-05-11,2026-06-10,10500.50,USD
INV-2026-0074,C005,ყაზბეგი LLC,2026-07-05,2026-08-19,14787.50,GEL
INV-2026-0075,C005,ყაზბეგი LLC,2026-04-19,2026-05-19,29480.50,GEL
INV-2026-0076,C040,Rustavi Pharma JSC,2026-05-19,2026-06-18,40221.50,GEL
INV-2026-0077,C045,Tbilisi Pharma Co,2026-05-26,2026-06-25,34754.50,GEL
INV-2026-0078,C006,ბორჯომი Co,2026-04-19,2026-05-19,35974.50,GEL
INV-2026-0079,C010,Tbilisi Retail Co,2026-06-14,2026-06-28,12509.50,GEL
INV-2026-0080,C022,Rustavi Steel LLC,2026-04-29,2026-05-29,43588.50,EUR
INV-2026-0081,C001,ალაზანი Group,2026-07-27,2026-08-10,40670.00,GEL
INV-2026-0082,C045,Tbilisi Pharma Co,2026-04-27,2026-05-27,27828.50,GEL
INV-2026-0083,C011,Batumi Construction Group,2026-05-14,2026-06-13,17041.00,GEL
INV-2026-0084,C052,Poti Textiles Co,2026-06-25,2026-08-09,5200.50,GEL
INV-2026-0085,C013,Telavi Agro Co,2026-05-09,2026-06-08,42243.00,GEL
INV-2026-0086,C043,Zugdidi Pharma Co,2026-06-30,2026-07-30,16244.00,GEL
INV-2026-0087,C023,Telavi Trading Group,2026-04-22,2026-06-06,20430.50,USD
INV-2026-0088,C053,Telavi Energy Group,2026-07-02,2026-08-16,41023.00,USD
INV-2026-0089,C004,ლიხი JSC,2026-06-23,2026-07-23,27115.50,GEL
INV-2026-0090,C053,Telavi Energy Group,2026-07-08,2026-08-07,33453.00,USD
INV-2026-0091,C051,Telavi Logistics LLC,2026-04-23,2026-05-07,3378.50,EUR
INV-2026-0092,C035,Telavi Agro JSC,2026-07-17,2026-07-31,405.00,GEL
INV-2026-0093,C057,Batumi Systems Co,2026-07-21,2026-08-20,17581.00,USD
INV-2026-0094,C003,კოლხეთი JSC,2026-05-12,2026-05-26,7215.50,EUR
INV-2026-0095,C056,Poti Pharma Group,2026-04-04,2026-05-04,43192.00,GEL
INV-2026-0096,C031,Marneuli Systems LLC,2026-05-03,2026-06-17,3752.00,GEL
INV-2026-0097,C059,Kobuleti Textiles LLC,2026-06-01,2026-07-01,4379.50,USD
INV-2026-0098,C011,Batumi Construction Group,2026-06-06,2026-07-06,24659.50,GEL
INV-2026-0099,C038,Gori Agro Group,2026-04-11,2026-05-11,3598.00,GEL
INV-2026-0100,C046,Tbilisi Textiles LLC,2026-07-29,2026-08-12,19508.00,GEL
INV-2026-0101,C039,Kobuleti Foods Group,2026-04-12,2026-04-26,4986.50,USD
INV-2026-0102,C001,ალაზანი Group,2026-05-28,2026-06-11,20239.50,GEL
INV-2026-0103,C053,Telavi Energy Group,2026-07-15,2026-08-14,18043.00,USD
INV-2026-0104,C017,Tbilisi Pharma JSC,2026-06-27,2026-07-11,2466.50,GEL
INV-2026-0105,C013,Telavi Agro Co,2026-06-19,2026-08-03,8465.50,GEL
INV-2026-0106,C016,Gori Steel JSC,2026-05-04,2026-06-03,497.50,GEL
INV-2026-0107,C006,ბორჯომი Co,2026-07-10,2026-08-24,31472.50,GEL
INV-2026-0108,C038,Gori Agro Group,2026-05-10,2026-06-09,9646.50,GEL
INV-2026-0109,C012,Zugdidi Retail Co,2026-05-15,2026-06-14,38237.00,GEL
INV-2026-0110,C057,Batumi Systems Co,2026-07-19,2026-08-18,35942.00,USD
INV-2026-0111,C057,Batumi Systems Co,2026-07-19,2026-08-18,42045.50,USD
INV-2026-0112,C034,Akhaltsikhe Retail Co,2026-07-21,2026-09-04,44284.00,GEL
INV-2026-0113,C007,Kobuleti Print Group,2026-07-05,2026-08-04,11080.50,GEL
INV-2026-0114,C038,Gori Agro Group,2026-06-03,2026-06-17,41864.00,GEL
INV-2026-0115,C027,Rustavi Construction Co,2026-07-24,2026-08-23,23670.00,GEL
INV-2026-0116,C045,Tbilisi Pharma Co,2026-06-16,2026-07-16,2111.50,GEL
INV-2026-0117,C044,Kobuleti Agro JSC,2026-05-22,2026-07-06,37632.50,GEL
INV-2026-0118,C025,Mtskheta Steel JSC,2026-07-07,2026-08-06,5177.00,GEL
INV-2026-0119,C001,ალაზანი Group,2026-04-06,2026-05-21,1127.50,GEL
INV-2026-0120,C044,Kobuleti Agro JSC,2026-06-03,2026-07-03,13632.00,GEL
INV-2026-9001,C004,Gori Pharma LLC,31/02/2026,2026-03-31,1250.00,GEL
INV-2026-0121,C031,Marneuli Systems LLC,2026-06-07,2026-07-22,8210.00,GEL
INV-2026-0122,C035,Telavi Agro JSC,2026-05-22,2026-06-21,25209.50,GEL
INV-2026-0123,C050,Tbilisi Trading LLC,2026-07-19,2026-08-02,33894.50,GEL
INV-2026-0124,C015,Kobuleti Logistics LLC,2026-04-27,2026-05-27,35001.00,GEL
INV-2026-0125,C007,Kobuleti Print Group,2026-07-27,2026-09-10,1678.50,GEL
INV-2026-0126,C020,Marneuli Foods JSC,2026-05-05,2026-06-04,44179.50,GEL
INV-2026-0127,C020,Marneuli Foods JSC,2026-05-16,2026-06-30,24261.50,GEL
INV-2026-0128,C014,Poti Construction JSC,2026-06-02,2026-07-02,23737.50,GEL
INV-2026-0129,C045,Tbilisi Pharma Co,2026-05-30,2026-06-29,40212.00,GEL
INV-2026-0130,C046,Tbilisi Textiles LLC,2026-06-25,2026-07-09,12598.50,GEL
INV-2026-0131,C057,Batumi Systems Co,2026-06-12,2026-06-26,27508.50,USD
INV-2026-0132,C050,Tbilisi Trading LLC,2026-04-13,2026-05-13,5702.00,GEL
INV-2026-0133,C044,Kobuleti Agro JSC,2026-05-15,2026-05-29,25519.50,GEL
INV-2026-0134,C050,Tbilisi Trading LLC,2026-07-22,2026-08-21,22140.50,GEL
INV-2026-0135,C054,Kobuleti Steel Co,2026-04-15,2026-05-30,25424.50,GEL
INV-2026-0136,C005,ყაზბეგი LLC,2026-05-15,2026-06-14,24758.00,GEL
INV-2026-0137,C047,Telavi Textiles JSC,2026-06-25,2026-07-25,9161.00,USD
INV-2026-0138,C019,Telavi Construction JSC,2026-07-11,2026-08-10,10805.50,GEL
INV-2026-0139,C045,Tbilisi Pharma Co,2026-06-03,2026-07-03,38700.50,GEL
INV-2026-0140,C002,მტკვარი JSC,2026-07-23,2026-09-06,24579.50,GEL
INV-2026-0141,C046,Tbilisi Textiles LLC,2026-07-20,2026-08-19,17963.00,GEL
INV-2026-0142,C002,მტკვარი JSC,2026-07-22,2026-08-21,19344.50,GEL
INV-2026-0143,C051,Telavi Logistics LLC,2026-07-13,2026-08-12,5661.50,EUR
INV-2026-0144,C060,Telavi Pharma LLC,2026-04-18,2026-06-02,21888.50,USD
INV-2026-0145,C048,Poti Construction JSC,2026-07-07,2026-08-06,42668.50,USD
INV-2026-0146,C006,ბორჯომი Co,2026-05-26,2026-06-09,688.50,GEL
INV-2026-0147,C022,Rustavi Steel LLC,2026-06-04,2026-06-18,29728.50,EUR
INV-2026-0148,C002,მტკვარი JSC,2026-07-28,2026-08-11,435.50,GEL
INV-2026-0149,C032,Marneuli Steel LLC,2026-05-08,2026-05-22,26650.00,USD
INV-2026-0150,C008,Kutaisi Print JSC,2026-04-21,2026-05-05,28909.50,GEL
INV-2026-0151,C028,Mtskheta Retail LLC,2026-04-17,2026-06-01,662.00,GEL
INV-2026-0152,C009,Poti Steel JSC,2026-06-23,2026-07-23,22728.50,USD
INV-2026-0153,C053,Telavi Energy Group,2026-04-04,2026-05-19,27684.00,USD
INV-2026-0154,C036,Poti Systems Co,2026-04-02,2026-05-02,5397.50,GEL
INV-2026-0155,C053,Telavi Energy Group,2026-04-09,2026-05-09,31361.50,USD
INV-2026-0156,C051,Telavi Logistics LLC,2026-04-25,2026-05-25,16216.00,EUR
INV-2026-0157,C056,Poti Pharma Group,2026-06-01,2026-07-16,38268.00,GEL
INV-2026-0158,C009,Poti Steel JSC,2026-05-12,2026-06-11,8861.00,USD
INV-2026-0159,C047,Telavi Textiles JSC,2026-04-12,2026-04-26,30981.50,USD
INV-2026-0160,C031,Marneuli Systems LLC,2026-06-12,2026-06-26,12393.00,GEL
INV-2026-0161,C006,ბორჯომი Co,2026-05-08,2026-05-22,44414.00,GEL
INV-2026-0162,C007,Kobuleti Print Group,2026-04-30,2026-05-30,38950.50,GEL
INV-2026-0163,C021,Poti Foods JSC,2026-04-09,2026-05-09,32351.00,GEL
INV-2026-0164,C007,Kobuleti Print Group,2026-07-26,2026-08-25,4937.50,GEL
INV-2026-0165,C039,Kobuleti Foods Group,2026-04-05,2026-05-05,21524.00,USD
INV-2026-0166,C050,Tbilisi Trading LLC,2026-04-07,2026-05-07,25390.00,GEL
INV-2026-0167,C008,Kutaisi Print JSC,2026-06-09,2026-07-09,21426.00,GEL
INV-2026-0168,C055,Tbilisi Agro LLC,2026-05-13,2026-05-27,26850.00,GEL
INV-2026-0169,C057,Batumi Systems Co,2026-05-12,2026-06-26,1319.50,USD
INV-2026-0170,C050,Tbilisi Trading LLC,2026-04-17,2026-05-17,17630.50,GEL
INV-2026-0171,C009,Poti Steel JSC,2026-04-16,2026-05-16,23509.50,USD
INV-2026-0172,C050,Tbilisi Trading LLC,2026-07-20,2026-09-03,29753.50,GEL
INV-2026-0173,C034,Akhaltsikhe Retail Co,2026-04-27,2026-05-27,9893.00,GEL
INV-2026-0174,C008,Kutaisi Print JSC,2026-06-03,2026-07-03,10082.00,GEL
INV-2026-0175,C031,Marneuli Systems LLC,2026-04-15,2026-05-15,3806.50,GEL
INV-2026-0176,C050,Tbilisi Trading LLC,2026-07-06,2026-08-20,43533.00,GEL
INV-2026-0177,C058,Marneuli Logistics Group,2026-07-30,2026-08-29,4380.00,GEL
INV-2026-0178,C019,Telavi Construction JSC,2026-04-27,2026-05-27,31684.00,GEL
INV-2026-0179,C038,Gori Agro Group,2026-07-13,2026-07-27,6508.00,GEL
INV-2026-0180,C007,Kobuleti Print Group,2026-07-06,2026-07-20,32672.00,GEL
INV-2026-0181,C048,Poti Construction JSC,2026-07-08,2026-08-07,21076.00,USD
INV-2026-0182,C024,Telavi Retail LLC,2026-06-15,2026-07-15,22761.50,EUR
INV-2026-0183,C004,ლიხი JSC,2026-07-26,2026-08-25,565.00,GEL
INV-2026-0184,C046,Tbilisi Textiles LLC,2026-04-05,2026-04-19,17412.00,GEL
INV-2026-0185,C029,Telavi Agro Co,2026-07-04,2026-08-18,20823.00,GEL
INV-2026-0186,C024,Telavi Retail LLC,2026-05-06,2026-06-05,22828.00,EUR
INV-2026-0187,C060,Telavi Pharma LLC,2026-04-15,2026-05-30,42702.00,USD
INV-2026-0188,C004,ლიხი JSC,2026-07-13,2026-08-12,23852.50,GEL
INV-2026-0189,C006,ბორჯომი Co,2026-07-05,2026-08-04,22340.50,GEL
INV-2026-0190,C024,Telavi Retail LLC,2026-06-21,2026-08-05,10607.00,EUR
INV-2026-0191,C002,მტკვარი JSC,2026-07-30,2026-08-13,35265.50,GEL
INV-2026-0192,C034,Akhaltsikhe Retail Co,2026-04-21,2026-05-21,23480.50,GEL
INV-2026-0193,C008,Kutaisi Print JSC,2026-04-28,2026-05-12,2918.00,GEL
INV-2026-0194,C027,Rustavi Construction Co,2026-06-07,2026-07-07,43096.50,GEL
INV-2026-0195,C007,Kobuleti Print Group,2026-05-24,2026-06-23,34188.00,GEL
INV-2026-0196,C020,Marneuli Foods JSC,2026-04-15,2026-05-15,42991.50,GEL
INV-2026-0197,C037,Kutaisi Agro Co,2026-05-21,2026-06-04,4647.50,GEL
INV-2026-0198,C008,Kutaisi Print JSC,2026-04-21,2026-05-21,5651.50,GEL
INV-2026-0199,C030,Marneuli Construction Co,2026-05-13,2026-06-12,40529.50,GEL
INV-2026-0200,C047,Telavi Textiles JSC,2026-04-25,2026-05-25,7230.00,USD
INV-2026-0201,C039,Kobuleti Foods Group,2026-06-23,2026-07-23,42622.00,USD
INV-2026-0202,C035,Telavi Agro JSC,2026-04-03,2026-04-17,2015.00,GEL
INV-2026-0203,C036,Poti Systems Co,2026-05-07,2026-05-21,42467.00,GEL
INV-2026-0204,C050,Tbilisi Trading LLC,2026-05-03,2026-06-02,28766.00,GEL
INV-2026-0205,C046,Tbilisi Textiles LLC,2026-06-29,2026-07-29,31266.50,GEL
INV-2026-0206,C053,Telavi Energy Group,2026-05-07,2026-06-06,33276.50,USD
INV-2026-0207,C034,Akhaltsikhe Retail Co,2026-04-01,2026-04-15,14865.50,GEL
INV-2026-0208,C026,Kutaisi Print Group,2026-07-08,2026-08-22,32834.50,GEL
INV-2026-0209,C032,Marneuli Steel LLC,2026-04-01,2026-05-01,557.00,USD
INV-2026-0210,C060,Telavi Pharma LLC,2026-07-28,2026-08-27,44961.00,USD
INV-2026-0211,C033,Gori Pharma Group,2026-06-26,2026-08-10,8642.00,USD
INV-2026-0212,C011,Batumi Construction Group,2026-04-12,2026-05-12,19437.50,GEL
INV-2026-0213,C008,Kutaisi Print JSC,2026-06-19,2026-07-19,13520.00,GEL
INV-2026-0214,C005,ყაზბეგი LLC,2026-06-09,2026-06-23,43460.00,GEL
INV-2026-0215,C023,Telavi Trading Group,2026-05-08,2026-06-22,21285.00,USD
INV-2026-0216,C023,Telavi Trading Group,2026-07-08,2026-08-07,40391.00,USD
INV-2026-0217,C044,Kobuleti Agro JSC,2026-07-04,2026-07-18,37987.00,GEL
INV-2026-0218,C034,Akhaltsikhe Retail Co,2026-04-16,2026-05-16,42815.00,GEL
INV-2026-0219,C002,მტკვარი JSC,2026-06-25,2026-07-25,35532.00,GEL
INV-2026-0220,C052,Poti Textiles Co,2026-04-22,2026-05-22,15392.50,GEL
INV-2026-0221,C014,Poti Construction JSC,2026-06-07,2026-07-07,4641.50,GEL
INV-2026-0222,C013,Telavi Agro Co,2026-07-01,2026-07-15,4783.50,GEL
INV-2026-0223,C002,მტკვარი JSC,2026-07-06,2026-07-20,6587.50,GEL
INV-2026-0224,C028,Mtskheta Retail LLC,2026-07-07,2026-07-21,1105.00,GEL
INV-2026-0225,C058,Marneuli Logistics Group,2026-05-30,2026-06-29,11211.00,GEL
INV-2026-0226,C027,Rustavi Construction Co,2026-05-19,2026-06-02,36945.50,GEL
INV-2026-0227,C025,Mtskheta Steel JSC,2026-05-27,2026-07-11,35093.00,GEL
INV-2026-0228,C060,Telavi Pharma LLC,2026-06-23,2026-07-23,16365.50,USD
INV-2026-0229,C025,Mtskheta Steel JSC,2026-06-22,2026-07-22,26709.50,GEL
INV-2026-0230,C036,Poti Systems Co,2026-05-16,2026-05-30,29876.00,GEL
INV-2026-0231,C013,Telavi Agro Co,2026-05-27,2026-06-10,16166.50,GEL
INV-2026-0232,C056,Poti Pharma Group,2026-05-16,2026-06-15,10214.50,GEL
INV-2026-0233,C033,Gori Pharma Group,2026-05-21,2026-06-04,13027.50,USD
INV-2026-0234,C035,Telavi Agro JSC,2026-04-24,2026-05-24,31043.00,GEL
INV-2026-0235,C021,Poti Foods JSC,2026-05-11,2026-05-25,613.00,GEL
INV-2026-0236,C048,Poti Construction JSC,2026-05-14,2026-06-28,37323.00,USD
INV-2026-0237,C015,Kobuleti Logistics LLC,2026-06-16,2026-07-16,41539.50,GEL
INV-2026-0238,C015,Kobuleti Logistics LLC,2026-06-02,2026-07-02,22925.50,GEL
INV-2026-0239,C035,Telavi Agro JSC,2026-07-09,2026-08-08,11494.00,GEL
INV-2026-9002,C011,Poti Agro JSC,2026-05-04,2026-06-03,-450.00,GEL
INV-2026-0240,C010,Tbilisi Retail Co,2026-07-31,2026-09-14,37182.00,GEL
INV-2026-0241,C025,Mtskheta Steel JSC,2026-07-30,2026-08-29,27210.50,GEL
INV-2026-0242,C021,Poti Foods JSC,2026-05-16,2026-06-15,9640.00,GEL
INV-2026-0243,C027,Rustavi Construction Co,2026-06-04,2026-07-04,32126.50,GEL
INV-2026-0244,C014,Poti Construction JSC,2026-07-04,2026-08-03,33369.50,GEL
INV-2026-0245,C048,Poti Construction JSC,2026-07-09,2026-08-08,6969.50,USD
INV-2026-0246,C026,Kutaisi Print Group,2026-06-15,2026-07-15,28646.50,GEL
INV-2026-0247,C048,Poti Construction JSC,2026-06-18,2026-07-18,33447.50,USD
INV-2026-0248,C016,Gori Steel JSC,2026-05-10,2026-06-09,3113.50,GEL
INV-2026-0249,C007,Kobuleti Print Group,2026-06-09,2026-07-09,38409.50,GEL
INV-2026-0250,C008,Kutaisi Print JSC,2026-04-03,2026-05-18,11326.50,GEL
INV-2026-0251,C012,Zugdidi Retail Co,2026-07-04,2026-08-18,36446.50,GEL
INV-2026-0252,C041,Kobuleti Construction JSC,2026-06-28,2026-07-28,27902.50,GEL
INV-2026-0253,C056,Poti Pharma Group,2026-05-08,2026-06-07,24659.00,GEL
INV-2026-0254,C004,ლიხი JSC,2026-04-06,2026-05-06,16244.50,GEL
INV-2026-0255,C004,ლიხი JSC,2026-06-16,2026-07-16,21233.00,GEL
INV-2026-0256,C025,Mtskheta Steel JSC,2026-05-15,2026-06-14,43829.00,GEL
INV-2026-0257,C018,Mtskheta Energy Group,2026-05-28,2026-07-12,40850.00,GEL
INV-2026-0258,C020,Marneuli Foods JSC,2026-05-15,2026-06-14,5374.50,GEL
INV-2026-0259,C040,Rustavi Pharma JSC,2026-05-09,2026-06-08,4687.50,GEL
INV-2026-0260,C010,Tbilisi Retail Co,2026-06-02,2026-07-02,31401.00,GEL
INV-2026-0261,C040,Rustavi Pharma JSC,2026-06-08,2026-06-22,33703.50,GEL
INV-2026-0262,C052,Poti Textiles Co,2026-07-15,2026-08-14,24151.50,GEL
INV-2026-0263,C042,Gori Trading Co,2026-05-14,2026-06-13,1375.50,GEL
INV-2026-0264,C008,Kutaisi Print JSC,2026-06-22,2026-07-22,5282.00,GEL
INV-2026-0265,C004,ლიხი JSC,2026-04-04,2026-05-04,23158.50,GEL
INV-2026-0266,C010,Tbilisi Retail Co,2026-04-17,2026-05-17,506.50,GEL
INV-2026-0267,C028,Mtskheta Retail LLC,2026-04-06,2026-05-06,13278.50,USD
INV-2026-0268,C027,Rustavi Construction Co,2026-04-23,2026-05-23,37675.50,USD
INV-2026-0269,C057,Batumi Systems Co,2026-07-02,2026-08-01,20499.50,USD
INV-2026-0270,C057,Batumi Systems Co,2026-05-09,2026-06-08,27219.00,USD
INV-2026-0271,C012,Zugdidi Retail Co,2026-07-13,2026-07-27,19185.50,USD
INV-2026-0272,C058,Marneuli Logistics Group,2026-07-03,2026-08-02,12057.00,USD
INV-2026-0273,C050,Tbilisi Trading LLC,2026-04-01,2026-05-16,42995.50,GEL
INV-2026-0274,C006,ბორჯომი Co,2026-05-11,2026-06-10,26746.50,GEL
INV-2026-0275,C017,Tbilisi Pharma JSC,2026-06-20,2026-07-20,28856.00,GEL
INV-2026-0276,C052,Poti Textiles Co,2026-04-29,2026-05-29,20341.00,GEL
INV-2026-0277,C013,Telavi Agro Co,2026-07-21,2026-08-20,43442.50,GEL
INV-2026-0278,C015,Kobuleti Logistics LLC,2026-05-26,2026-06-09,21008.00,GEL
INV-2026-0279,C041,Kobuleti Construction JSC,2026-05-02,2026-06-01,16948.50,GEL
INV-2026-0280,C017,Tbilisi Pharma JSC,2026-06-19,2026-07-19,26673.50,GEL
INV-2026-0281,C002,მტკვარი JSC,2026-06-01,2026-06-15,15800.50,GEL
INV-2026-0282,C002,მტკვარი JSC,2026-07-15,2026-08-14,28228.50,GEL
INV-2026-0283,C002,მტკვარი JSC,2026-04-08,2026-04-22,29156.00,GEL
INV-2026-0284,C017,Tbilisi Pharma JSC,2026-05-10,2026-05-24,43517.50,GEL
INV-2026-0285,C017,Tbilisi Pharma JSC,2026-05-29,2026-07-13,11590.50,GEL
INV-2026-0286,C017,Tbilisi Pharma JSC,2026-06-10,2026-06-24,40208.50,GEL
INV-2026-0287,C038,Gori Agro Group,2026-05-30,2026-06-29,7184.50,GEL
INV-2026-0288,C038,Gori Agro Group,2026-06-05,2026-06-19,20674.00,GEL
INV-2026-0289,C038,Gori Agro Group,2026-04-10,2026-05-10,2182.00,GEL
INV-2026-0290,C023,Telavi Trading Group,2026-07-31,2026-08-30,23787.00,USD
INV-2026-0291,C023,Telavi Trading Group,2026-06-26,2026-08-10,5012.50,USD
INV-2026-0292,C023,Telavi Trading Group,2026-04-29,2026-05-13,17247.00,USD
INV-2026-0293,C023,Telavi Trading Group,2026-07-02,2026-07-16,23266.50,USD
INV-2026-0294,C023,Telavi Trading Group,2026-05-14,2026-05-28,9715.50,USD
INV-2026-0295,C023,Telavi Trading Group,2026-06-17,2026-08-01,12895.50,USD
INV-2026-0296,C008,Kutaisi Print JSC,2026-04-06,2026-05-06,32103.00,GEL
INV-2026-0297,C008,Kutaisi Print JSC,2026-05-13,2026-06-12,8588.50,GEL
INV-2026-0298,C008,Kutaisi Print JSC,2026-06-07,2026-06-21,22322.50,GEL
INV-2026-0299,C011,Batumi Construction Group,2026-04-25,2026-06-09,40612.00,GEL
INV-2026-0300,C034,Akhaltsikhe Retail Co,2026-04-01,2026-05-01,31808.50,GEL
