payment_ref,reference,customer_code,payer_name,value_date,amount,currency
BNK-2026-000346,GEO PAY,,Gori Print 7,2026-05-17,26979.00,GEL
BNK-2026-000354,GEO PAY,C017,Tbilisi Pharma JSC,2026-05-08,33177.69,GEL
BNK-2026-000355,TRANSFER,C008,Kutaisi Print JSC,2026-05-27,5960.37,GEL
BNK-2026-000357,BANK TRANSFER,C037,Kutaisi Agro Co,2026-05-13,20961.13,GEL
BNK-2026-000358,BANK TRANSFER,C044,Kobuleti Agro JSC,2026-05-24,23209.83,GEL
BNK-2026-000360,ACCOUNT SETTLEMENT,C055,Tbilisi Agro LLC,2026-05-06,14972.69,GEL
BNK-2026-000366,,C050,Tbilisi Trading LLC,2026-05-29,33518.13,GEL
BNK-2026-000367,MONTHLY PAYMENT,C026,Kutaisi Print Group,2026-05-26,36137.33,GEL
BNK-2026-000368,PAYMENT FOR SERVICES,C046,Tbilisi Textiles LLC,2026-05-01,2418.87,GEL
BNK-2026-000385,MONTHLY PAYMENT,C056,Poti Pharma Group,2026-05-28,4495.83,GEL
BNK-2026-000394,GEO PAY,C003,კოლხეთი JSC,2026-05-17,34310.13,EUR
BNK-2026-000396,PAYMENT FOR SERVICES,C051,Telavi Logistics LLC,2026-05-07,3868.37,EUR
BNK-2026-000406,REVERSAL OF EARLIER CREDIT,C008,Kutaisi Print JSC,2026-05-17,-37657.50,GEL
BNK-2026-000408,REVERSAL OF EARLIER CREDIT,C048,Poti Construction JSC,2026-05-08,-16547.00,USD
BNK-2026-000409,REVERSAL OF EARLIER CREDIT,C008,Kutaisi Print JSC,2026-05-08,-25381.00,GEL
BNK-2026-000411,REVERSAL OF EARLIER CREDIT,C046,Tbilisi Textiles LLC,2026-05-22,-40464.50,GEL
